"","me.random","me.allocation","me.blinding","me.ssize"
"1","No","No","No","No"
"2","Yes","No","No","No"
"3","Yes","Yes","Yes","Yes"
"4","Yes","Yes","Yes","Yes"
"5","Yes","Yes","No","Yes"
"6","Partially yes","No","Yes","Yes"
"7","Yes","Yes","Yes","Yes"
"8","Yes","Yes","Yes","Yes"
"9","Partially yes","No","No","No"
"10","Yes","Yes","Yes","Yes"
"11","No","No","No","No"
"12","Yes","Yes","No","No"
"13","Partially yes","Yes","Yes","Yes"
"14","Partially yes","No","No","No"
"15","Yes","Yes","Yes","Yes"
"16","No","No","Yes","Yes"
"17","No","No","No","Yes"
"18","Yes","Yes","Yes","No"
"19","Yes","No","No","Yes"
"20","No","No","Yes","Yes"
"21","Yes","Yes","No","No"
"22","No","No","Yes","Yes"
"23","Yes","Yes","Yes","No"
"24","No","No","Yes","No"
"25","Partially yes","No","Yes","Yes"
"26","No","No","No","No"
"27","Yes","No","Yes","No"
"28","No","No","No","Yes"
"29","Yes","Yes","Yes","Yes"
"30","Yes","Yes","Yes","Yes"
"31","Yes","No","No","Yes"
"32","No","No","No","Yes"
"33","Yes","No","Yes","Yes"
"34","Partially yes","Yes","Yes","Yes"
"35","Yes","Yes","Yes","Yes"
"36","No","No","Yes","No"
"37","Yes","Yes","Yes","Yes"
"38","No","No","No","No"
"39","Yes","Yes","Yes","Yes"
"40","No","No","No","Yes"
"41","Yes","No","yes","Yes"
"42","Partially yes","No","Yes","Yes"
"43","Partially yes","No","No","Yes"
"44","Yes","No","Yes","Yes"
"45","Yes","Yes","Yes","Yes"
"46","Yes","Yes","Yes","Yes"
"47","Partially yes","Yes","Yes","Yes"
"48","No","Yes","Yes","Yes"
"49","Yes","Yes","Yes","No"
"50","Yes","Yes","Yes","Yes"
"51","Partially yes","No","Yes","Yes"
"52","Partially yes","Yes","No","Yes"
"53","Partially yes","No","Yes","Yes"
