"","an.outcome","ab.effect","me.outcomes","re.table.base","re.part.analise","re.effectsizes"
"1","Unclear","Yes","Unclear","No","Yes","Yes"
"2","Unclear","No","Unclear","No","Yes","Yes"
"3","Unclear","Yes","Yes","No","Yes","Yes"
"4","Unclear","Yes","Yes","Yes","Yes","Yes"
"5","Unclear","Yes","Yes","Yes","Yes","Yes"
"6","Yes","Yes","Yes","No","No","Yes"
"7","No","Yes","Yes","Yes","Yes","Yes"
"8","Yes","No","Yes","Yes","Yes","Yes"
"9","No","There is no reporting of quantitative results","Unclear","Yes","Yes","Yes"
"10","Unclear","Yes","Yes","Yes","Yes","Yes"
"11","Unclear","Yes","Partially yes","Yes","Yes","Yes"
"12","Yes","Yes","Yes","Yes","Yes","Yes"
"13","Yes","Yes","Yes","Yes","Yes","Yes"
"14","Yes","Yes","Yes","Yes","No","Yes"
"15","Yes","Yes","Yes","Yes","Yes","Yes"
"16","Unclear","Yes","Unclear","No","No","Yes"
"17","No","There is no reporting of quantitative results","Unclear","No","Yes","Yes"
"18","No","Yes","Yes","No","Yes","Yes"
"19","No","Yes","Unclear","Yes","Yes","Yes"
"20","Yes","Yes","Yes","Yes","Yes","Yes"
"21","No","Yes","Yes","Yes","Yes","Yes"
"22","Yes","Yes","Unclear","Yes","No","Yes"
"23","Yes","Yes","Yes","Yes","Yes","Yes"
"24","Unclear","No","Unclear","Yes","Yes","Yes"
"25","Unclear","Yes","Unclear","Yes","Yes","Yes"
"26","Unclear","There is no reporting of quantitative results","Unclear","Yes","No","Yes"
"27","No","Yes","Yes","No","Yes","Yes"
"28","No","Yes","Unclear","No","Yes","Yes"
"29","No","Yes","Yes","Yes","Yes","Yes"
"30","Yes","Yes","Yes","Yes","Yes","Yes"
"31","No","No","Yes","Yes","Yes","Yes"
"32","Unclear","Yes","Unclear","No","No","Yes"
"33","Unclear","Yes","Yes","Yes","No","Yes"
"34","Unclear","Yes","Unclear","Yes","No","Yes"
"35","Yes","Yes","Yes","Yes","No","Yes"
"36","Unclear","Yes","Partially yes","No","Yes","Yes"
"37","No","No","Yes","Yes","Yes","Yes"
"38","No","Yes","Unclear","Yes","Yes","Yes"
"39","Unclear","Yes","Yes","Yes","Yes","Yes"
"40","Yes","Yes","Yes","No","Yes","Yes"
"41","Yes","Yes","Yes","Yes","Yes","Yes"
"42","Yes","Yes","Yes","Yes","Yes","Yes"
"43","No","Yes","Yes","Yes","Yes","Yes"
"44","Yes","Yes","Yes","Yes","No","Yes"
"45","Yes","Yes","Yes","Yes","Yes","Yes"
"46","Yes","Yes","Yes","Yes","Yes","Yes"
"47","Unclear","Yes","Yes","Yes","Yes","Yes"
"48","Unclear","Yes","Yes","yes","Yes","Yes"
"49","Yes","There is no reporting of quantitative results","Yes","Yes","Yes","Yes"
"50","Yes","Yes","Yes","Yes","Yes","Yes"
"51","Unclear","Yes","Yes","Yes","No","Yes"
"52","No","Yes","Yes","Yes","No","Yes"
"53","No","Yes","Yes","Yes","No","Yes"
