"","me.eleg.crit","me.tid5","re.part.flow"
"1","Yes","Yes","Yes"
"2","Yes","Yes","Yes"
"3","Yes","Yes","Yes"
"4","Unclear","Yes","Yes"
"5","Unclear","Yes","Yes"
"6","Unclear","No","Yes"
"7","Yes","Partially yes","Yes"
"8","Yes","Partially yes","Yes"
"9","Unclear","Partially yes","No"
"10","Yes","Yes","Yes"
"11","Yes","Yes","No"
"12","Yes","Yes","Yes"
"13","Yes","Yes","Yes"
"14","No","Yes","No"
"15","No","Partially yes","Yes"
"16","No","No","No"
"17","No","Yes","Yes"
"18","Unclear","Yes","Yes"
"19","Yes","Partially yes","Yes"
"20","Yes","Yes","Yes"
"21","Unclear","Yes","Yes"
"22","Yes","Yes","No"
"23","Yes","Partially yes","Yes"
"24","No","No","No"
"25","Yes","Yes","Yes"
"26","Yes","Yes","Yes"
"27","Yes","No","Yes"
"28","Unclear","No","Yes"
"29","Yes","Yes","Yes"
"30","Yes","Yes","Yes"
"31","Yes","Yes","Yes"
"32","Yes","No","No"
"33","Yes","Yes","Yes"
"34","Yes","Partially yes","Yes"
"35","Yes","Partially yes","Yes"
"36","No","Partially yes","No"
"37","Yes","Yes","Yes"
"38","Yes","Partially yes","Yes"
"39","Unclear","Yes","Yes"
"40","Yes","Partially yes","No"
"41","Yes","Partially yes","Yes"
"42","Yes","Partially yes","Yes"
"43","Yes","No","Yes"
"44","Yes","Yes","Yes"
"45","Yes","Yes","Yes"
"46","Yes","Yes","Yes"
"47","Yes","Yes","Yes"
"48","Yes","Partially yes","No"
"49","Yes","No","Yes"
"50","Yes","Yes","Yes"
"51","Yes","Yes","No"
"52","Yes","No","No"
"53","Yes","No","Yes"
